0Zhe,1Zhe,2Zhe,3Zhe,4Zhe
"('ProNE_Emb_1', 1849.0)","('tid_unique', 1850.0)","('ProNE_Emb_1', 1927.0)","('ProNE_Emb_1', 1756.0)","('ProNE_Emb_24', 2053.0)"
"('ProNE_Emb_19', 1710.0)","('ProNE_Emb_19', 1813.0)","('ProNE_Emb_24', 1816.0)","('controlservice', 1755.0)","('ProNE_Emb_1', 1857.0)"
"('ProNE_Emb_24', 1665.0)","('ProNE_Emb_1', 1788.0)","('tid_unique', 1796.0)","('tid_unique', 1753.0)","('ProNE_Emb_19', 1809.0)"
"('tid_unique', 1611.0)","('ProNE_Emb_3', 1736.0)","('ProNE_Emb_3', 1670.0)","('ProNE_Emb_24', 1745.0)","('controlservice', 1743.0)"
"('controlservice', 1555.0)","('ProNE_Emb_24', 1694.0)","('ProNE_Emb_19', 1650.0)","('ProNE_Emb_3', 1653.0)","('ProNE_Emb_3', 1632.0)"
"('ProNE_Emb_3', 1494.0)","('ProNE_Emb_50', 1641.0)","('controlservice', 1611.0)","('ProNE_Emb_19', 1633.0)","('ProNE_Emb_34', 1554.0)"
"('ProNE_Emb_23', 1402.0)","('controlservice', 1618.0)","('file_id_tid_emb_1', 1432.0)","('max_tid', 1619.0)","('ProNE_Emb_50', 1536.0)"
"('ProNE_Emb_33', 1371.0)","('file_id_tid_emb_6', 1543.0)","('ProNE_Emb_23', 1424.0)","('file_id_tid_emb_13', 1523.0)","('tid_unique', 1515.0)"
"('file_id_tid_emb_1', 1363.0)","('ProNE_Emb_57', 1543.0)","('ProNE_Emb_34', 1371.0)","('ProNE_Emb_34', 1508.0)","('ProNE_Emb_55', 1433.0)"
"('ProNE_Emb_34', 1306.0)","('file_id_tid_emb_60', 1520.0)","('ProNE_Emb_47', 1334.0)","('file_id_tid_emb_15', 1486.0)","('file_id_tid_emb_1', 1422.0)"
"('file_id_tid_emb_30', 1291.0)","('file_id_tid_emb_1', 1507.0)","('max_tid', 1331.0)","('file_id_tid_emb_33', 1478.0)","('ProNE_Emb_33', 1421.0)"
"('ProNE_Emb_47', 1279.0)","('ProNE_Emb_33', 1484.0)","('ProNE_Emb_50', 1331.0)","('file_id_tid_emb_4', 1458.0)","('ProNE_Emb_47', 1379.0)"
"('max_tid', 1257.0)","('file_id_tid_emb_13', 1461.0)","('setstdhandle', 1294.0)","('file_id_tid_emb_40', 1437.0)","('ProNE_Emb_38', 1353.0)"
"('file_id_tid_emb_60', 1257.0)","('max_tid', 1447.0)","('ProNE_Emb_35', 1268.0)","('ProNE_Emb_55', 1436.0)","('max_tid', 1345.0)"
"('ProNE_Emb_15', 1242.0)","('ProNE_Emb_20', 1436.0)","('ProNE_Emb_11', 1260.0)","('ProNE_Emb_50', 1422.0)","('setstdhandle', 1341.0)"
"('ProNE_Emb_52', 1235.0)","('ProNE_Emb_23', 1434.0)","('file_id_tid_emb_13', 1258.0)","('ProNE_Emb_47', 1418.0)","('file_id_tid_emb_17', 1330.0)"
"('setstdhandle', 1225.0)","('ProNE_Emb_35', 1395.0)","('file_id_tid_emb_6', 1241.0)","('file_id_tid_emb_1', 1388.0)","('ProNE_Emb_23', 1328.0)"
"('ProNE_Emb_50', 1210.0)","('ProNE_Emb_34', 1378.0)","('file_id_tid_emb_10', 1239.0)","('ProNE_Emb_52', 1380.0)","('file_id_tid_emb_0', 1295.0)"
"('ProNE_Emb_43', 1209.0)","('file_id_tid_emb_12', 1357.0)","('ProNE_Emb_15', 1211.0)","('file_id_tid_emb_30', 1379.0)","('ProNE_Emb_18', 1281.0)"
"('ProNE_Emb_38', 1196.0)","('file_id_tid_emb_53', 1350.0)","('ProNE_Emb_57', 1209.0)","('ProNE_Emb_43', 1376.0)","('file_id_tid_emb_7', 1266.0)"
"('file_id_tid_emb_4', 1192.0)","('ProNE_Emb_59', 1331.0)","('ProNE_Emb_31', 1203.0)","('ProNE_Emb_45', 1372.0)","('file_id_tid_emb_12', 1260.0)"
"('regqueryvalueexw', 1184.0)","('ProNE_Emb_47', 1316.0)","('ProNE_Emb_12', 1199.0)","('ProNE_Emb_23', 1341.0)","('ProNE_Emb_59', 1258.0)"
"('ProNE_Emb_39', 1184.0)","('ntmapviewofsection', 1315.0)","('ntmapviewofsection', 1198.0)","('ProNE_Emb_57', 1335.0)","('file_id_tid_emb_13', 1254.0)"
"('file_id_tid_emb_0', 1182.0)","('max_tid_counts', 1312.0)","('ProNE_Emb_33', 1198.0)","('ProNE_Emb_28', 1331.0)","('file_id_tid_emb_53', 1253.0)"
"('ProNE_Emb_59', 1167.0)","('ProNE_Emb_55', 1309.0)","('ProNE_Emb_38', 1190.0)","('ProNE_Emb_15', 1328.0)","('ProNE_Emb_52', 1242.0)"
"('ProNE_Emb_35', 1155.0)","('file_id_tid_emb_32', 1307.0)","('file_id_api_emb_15', 1186.0)","('file_id_tid_emb_47', 1326.0)","('file_id_tid_emb_14', 1240.0)"
"('ProNE_Emb_4', 1147.0)","('ProNE_Emb_43', 1301.0)","('min_api_counts', 1173.0)","('createactctxw', 1326.0)","('ntmapviewofsection', 1238.0)"
"('ProNE_Emb_31', 1144.0)","('setstdhandle', 1284.0)","('ProNE_Emb_2', 1166.0)","('file_id_tid_emb_34', 1304.0)","('min_tid', 1235.0)"
"('ntcreatethreadex', 1137.0)","('ProNE_Emb_11', 1276.0)","('ProNE_Emb_28', 1162.0)","('ProNE_Emb_33', 1300.0)","('ProNE_Emb_57', 1225.0)"
"('ProNE_Emb_11', 1134.0)","('file_id_tid_emb_23', 1273.0)","('ProNE_Emb_52', 1160.0)","('ntmapviewofsection', 1290.0)","('ProNE_Emb_39', 1221.0)"
"('ProNE_Emb_55', 1134.0)","('file_id_tid_emb_30', 1262.0)","('ProNE_Emb_17', 1152.0)","('file_id_tid_emb_21', 1289.0)","('file_id_tid_emb_6', 1215.0)"
"('ntmapviewofsection', 1123.0)","('file_id_tid_emb_61', 1259.0)","('ProNE_Emb_39', 1148.0)","('ntcreatethreadex', 1284.0)","('ProNE_Emb_31', 1213.0)"
"('ProNE_Emb_17', 1123.0)","('ProNE_Emb_18', 1259.0)","('file_id_tid_emb_50', 1139.0)","('file_id_tid_emb_10', 1281.0)","('ProNE_Emb_13', 1211.0)"
"('file_id_tid_emb_10', 1115.0)","('ProNE_Emb_17', 1246.0)","('ntunmapviewofsection', 1129.0)","('ProNE_Emb_17', 1276.0)","('ProNE_Emb_45', 1205.0)"
"('file_id_tid_emb_61', 1107.0)","('ProNE_Emb_45', 1246.0)","('ProNE_Emb_59', 1129.0)","('ProNE_Emb_59', 1275.0)","('ProNE_Emb_35', 1196.0)"
"('ProNE_Emb_56', 1097.0)","('file_id_tid_emb_17', 1243.0)","('ProNE_Emb_20', 1125.0)","('ProNE_Emb_39', 1273.0)","('file_id_tid_emb_45', 1194.0)"
"('file_id_tid_emb_47', 1094.0)","('file_id_tid_emb_10', 1239.0)","('ProNE_Emb_55', 1125.0)","('file_id_tid_emb_6', 1266.0)","('file_id_tid_emb_10', 1190.0)"
"('ProNE_Emb_12', 1079.0)","('ProNE_Emb_12', 1231.0)","('file_id_tid_emb_24', 1108.0)","('ProNE_Emb_13', 1234.0)","('ProNE_Emb_20', 1171.0)"
"('file_id_api_emb_15', 1078.0)","('file_id_tid_emb_25', 1228.0)","('ProNE_Emb_36', 1105.0)","('file_id_tid_emb_52', 1229.0)","('file_id_tid_emb_47', 1169.0)"
"('file_id_tid_emb_32', 1072.0)","('std_api_counts', 1225.0)","('ProNE_Emb_18', 1102.0)","('ProNE_Emb_35', 1228.0)","('regqueryvalueexw', 1165.0)"
"('min_api_counts', 1071.0)","('ntcreatethreadex', 1216.0)","('file_id_tid_emb_28', 1098.0)","('regqueryvalueexw', 1225.0)","('file_id_tid_emb_15', 1161.0)"
"('ProNE_Emb_20', 1071.0)","('file_id_tid_emb_16', 1213.0)","('file_id_tid_emb_62', 1096.0)","('ProNE_Emb_38', 1225.0)","('ProNE_Emb_43', 1159.0)"
"('ProNE_Emb_21', 1065.0)","('file_id_api_emb_15', 1209.0)","('regqueryvalueexw', 1093.0)","('file_id_tid_emb_59', 1224.0)","('ProNE_Emb_17', 1158.0)"
"('file_id_tid_emb_13', 1059.0)","('file_id_tid_emb_14', 1191.0)","('file_id_tid_emb_45', 1092.0)","('file_id_tid_emb_50', 1223.0)","('file_id_tid_emb_22', 1156.0)"
"('ProNE_Emb_13', 1057.0)","('file_id_tid_emb_50', 1190.0)","('api_unique', 1089.0)","('file_id_tid_emb_61', 1214.0)","('ProNE_Emb_15', 1156.0)"
"('file_id_tid_emb_33', 1052.0)","('ProNE_Emb_52', 1189.0)","('ProNE_Emb_56', 1089.0)","('file_id_tid_emb_35', 1208.0)","('min_api_counts', 1152.0)"
"('createactctxw', 1051.0)","('min_api_counts', 1186.0)","('file_id_tid_emb_25', 1083.0)","('min_api_counts', 1204.0)","('ProNE_Emb_56', 1148.0)"
